"TIME","GEO","CITIZEN","UNIT","Value"
"1999M05","Germany (until 1990 former territory of the FRG)","Total","Person","6,905"
"1999M05","Estonia","Total","Person",":"
"1999M05","Ireland","Total","Person","380"
"1999M05","Greece","Total","Person","185"
"1999M05","Spain","Total","Person","750"
"1999M05","France","Total","Person","2,130"
"1999M05","Italy","Total","Person","70"
"1999M05","Cyprus","Total","Person",":"
"1999M05","Latvia","Total","Person",":"
"1999M05","Lithuania","Total","Person",":"
"1999M05","Luxembourg","Total","Person","780"
"1999M05","Hungary","Total","Person",":"
"1999M05","Malta","Total","Person",":"
"1999M05","Netherlands","Total","Person","2,925"
"1999M05","Austria","Total","Person","1,945"
"1999M05","Poland","Total","Person",":"
"1999M05","Portugal","Total","Person","20"
"1999M05","Romania","Total","Person",":"
"1999M05","Slovenia","Total","Person",":"
"1999M05","Slovakia","Total","Person",":"
"1999M05","Finland","Total","Person","200"
"1999M05","Sweden","Total","Person","820"
"1999M05","United Kingdom","Total","Person","5,370"
"1999M05","Iceland","Total","Person",":"
"1999M05","Norway","Total","Person",":"
"1999M05","Turkey","Total","Person",":"
"1999M06","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M06","Belgium","Total","Person","2,945"
"1999M06","Bulgaria","Total","Person",":"
"1999M06","Czechia","Total","Person",":"
"1999M06","Denmark","Total","Person","470"
"1999M06","Germany (until 1990 former territory of the FRG)","Total","Person","9,640"
"1999M06","Estonia","Total","Person",":"
"1999M06","Ireland","Total","Person","455"
"1999M06","Greece","Total","Person","150"
"1999M06","Spain","Total","Person","575"
"1999M06","France","Total","Person","2,415"
"1999M06","Italy","Total","Person","50"
"1999M06","Cyprus","Total","Person",":"
"1999M06","Latvia","Total","Person",":"
"1999M06","Lithuania","Total","Person",":"
"1999M06","Luxembourg","Total","Person","610"
"1999M06","Hungary","Total","Person",":"
"1999M06","Malta","Total","Person",":"
"1999M06","Netherlands","Total","Person","3,100"
"1999M06","Austria","Total","Person","2,665"
"1999M06","Poland","Total","Person",":"
"1999M06","Portugal","Total","Person","35"
"1999M06","Romania","Total","Person",":"
"1999M06","Slovenia","Total","Person",":"
"1999M06","Slovakia","Total","Person",":"
"1999M06","Finland","Total","Person","465"
"1999M06","Sweden","Total","Person","855"
"1999M06","United Kingdom","Total","Person","6,130"
"1999M06","Iceland","Total","Person",":"
"1999M06","Norway","Total","Person",":"
"1999M06","Turkey","Total","Person",":"
"1999M07","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M07","Belgium","Total","Person","2,770"
"1999M07","Bulgaria","Total","Person",":"
"1999M07","Czechia","Total","Person",":"
"1999M07","Denmark","Total","Person","530"
"1999M07","Germany (until 1990 former territory of the FRG)","Total","Person","9,405"
"1999M07","Estonia","Total","Person",":"
"1999M07","Ireland","Total","Person","570"
"1999M07","Greece","Total","Person","65"
"1999M07","Spain","Total","Person","560"
"1999M07","France","Total","Person","2,890"
"1999M07","Italy","Total","Person",":"
"1999M07","Cyprus","Total","Person",":"
"1999M07","Latvia","Total","Person",":"
"1999M07","Lithuania","Total","Person",":"
"1999M07","Luxembourg","Total","Person","210"
"1999M07","Hungary","Total","Person",":"
"1999M07","Malta","Total","Person",":"
"1999M07","Netherlands","Total","Person","3,200"
"1999M07","Austria","Total","Person","1,755"
"1999M07","Poland","Total","Person",":"
"1999M07","Portugal","Total","Person","35"
"1999M07","Romania","Total","Person",":"
"1999M07","Slovenia","Total","Person",":"
"1999M07","Slovakia","Total","Person",":"
"1999M07","Finland","Total","Person","790"
"1999M07","Sweden","Total","Person","955"
"1999M07","United Kingdom","Total","Person","6,440"
"1999M07","Iceland","Total","Person",":"
"1999M07","Norway","Total","Person",":"
"1999M07","Turkey","Total","Person",":"
"1999M08","European Union - 15 countries (1995-2004)","Total","Person",":"
