freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EE	5 	5 	0 	0 	10 	0 	5 	10 	15 	10 	10 	5 	10 	10 	30 	5 	10 	20 	20 	5 	10 	15 	20 	10 	10 	15 	15 	15 	20 	35 	50 	70 	45 	55 	50 	45 	55 	45 	25 	25 	25 	30 	10 	15 	25 	20 	15 	30 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EL	880 	7525 	9325 	11850 	4140 	5270 	3125 	1815 	1000 	1145 	710 	600 	1345 	2400 	2635 	2290 	2880 	3545 	1525 	3240 	2855 	3000 	3895 	3335 	4180 	5050 	2185 	1890 	2550 	2355 	2500 	2235 	2140 	2380 	3090 	3845 	4430 	5760 	6780 	7545 	6860 	8055 	8605 	8820 	8310 	7315 	8275 	8800 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,ES	1490 	880 	1300 	1460 	1310 	1145 	1075 	955 	490 	670 	840 	780 	800 	650 	935 	1010 	575 	670 	580 	765 	655 	565 	465 	685 	665 	790 	1315 	850 	650 	750 	820 	1015 	2285 	2230 	3600 	2135 	3560 	2275 	2475 	3745 	3370 	2275 	3400 	2835 	2845 	6375 	18270 	30545 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EU27_2020	38930 d	45935 d	48030 d	57255 d	50495 d	51765 d	48065 d	49395 d	45270 d	47795 d	48985 d	53705 d	48195 d	51135 d	51445 d	60780 d	59970 	58670 	55095 	86580 	62405 	68040 	74200 	87150 	77510 	77715 	80025 	105785 	113920 	116525 	132100 	196040 	232195 	227165 	273260 	342865 	287300 	264575 	193025 	188875 	157820 	135065 	125965 	134045 	134280 	124830 	136140 	145575 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EU28	44245 d	52130 d	54525 d	63025 d	56845 d	58970 d	57455 d	57545 d	52315 d	54625 d	55460 d	60010 d	54590 	56625 	57090 	66200 	66030 	63845 	60375 	92060 	69120 	74380 	79615 	91120 	81095 	82420 	88145 	115190 	126640 	124580 	140690 	204745 	240345 	234645 	280860 	350545 	294965 	271020 	199655 	195970 	166170 	142240 	132855 	140635 	141870 	131680 	143115 	152680 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,FI	335 	380 	345 	510 	525 	810 	355 	955 	1340 	1240 	1045 	625 	725 	575 	530 	770 	655 	730 	790 	910 	825 	820 	810 	755 	550 	560 	570 	665 	585 	585 	720 	1065 	2005 	4945 	6690 	7110 	2530 	1870 	1540 	1240 	1205 	1050 	1145 	1040 	1250 	1325 	1175 	1095 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,FR	8075 	7250 	7915 	8520 	8450 	8385 	8870 	9590 	9295 	9385 	9180 	9750 	9345 	11090 	9780 	12000 	14705 	14435 	14020 	16645 	12975 	15035 	14605 	19100 	16700 	16805 	16235 	18760 	17025 	19425 	19735 	21725 	19880 	21695 	21445 	24465 	23045 	26860 	30425 	30615 	29760 	27880 	27510 	29900 	29070 	28510 	28320 	27995 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	40 	45 	40 	100 	25 	40 	25 	45 	45 	80 	65 	40 	35 	70 	45 	35 	50 	95 	100 	135 	110 	110 	125 	100 	105 	95 	135 	65 	55 	75 	125 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,HU	105 	255 	265 	285 	395 	580 	430 	405 	350 	220 	300 	175 	165 	200 	245 	285 	330 	335 	230 	205 	345 	1475 	1510 	1210 	655 	440 	1060 	3290 	1255 	690 	530 	860 	1000 	1030 	875 	2205 	2210 	540 	745 	675 	510 	195 	155 	100 	160 	200 	150 	195 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,IE	900 	855 	930 	935 	905 	780 	765 	680 	505 	425 	375 	290 	395 	340 	355 	280 	260 	240 	225 	215 	215 	230 	170 	230 	240 	235 	295 	295 	285 	220 	235 	255 	395 	420 	750 	565 	115 b	145 	270 	355 	375 	360 	180 	260 	300 	420 	400 	750 	: 	: 
